#    time               <x>               <y>             var_x             var_y             var_r            <mv_x>            <mv_y>           var_mvx           var_mvy            var_mv                        E                     E-E0              <Px>            var_Px            var_Py             var_P               err
24.535839  -8.245672611e-01  -5.654449837e-01   5.010175166e-01   3.118615179e-01   8.128790344e-01  -5.654449837e-01   8.243732400e-01   5.076936480e-01   3.984495418e-01   9.061431898e-01   9.5273151831112901e-01   2.8210767055725228e-13  -6.659782872e-15   3.018983425e-01   3.984495418e-01   7.003478843e-01   1.003641614e-13
24.567255  -8.419186598e-01  -5.392718855e-01   4.819507554e-01   3.100980986e-01   7.920488541e-01  -5.392718855e-01   8.417211685e-01   5.164223424e-01   3.897314785e-01   9.061538209e-01   9.5273151831113390e-01   2.8699265186560297e-13  -6.765192550e-15   3.018983425e-01   3.897314785e-01   6.916298210e-01   8.859579737e-14
24.598670  -8.584395190e-01  -5.125667864e-01   4.636392845e-01   3.085851504e-01   7.722244349e-01  -5.125667864e-01   8.582386989e-01   5.249002909e-01   3.812638980e-01   9.061641888e-01   9.5273151831112468e-01   2.7777780076121417e-13  -6.924235810e-15   3.018983425e-01   3.812638980e-01   6.831622404e-01   4.929390229e-14
24.630086  -8.741135406e-01  -4.853560319e-01   4.461262436e-01   3.072990751e-01   7.534253186e-01  -4.853560319e-01   8.739095397e-01   5.330940557e-01   3.730801935e-01   9.061742491e-01   9.5273151831112834e-01   2.8144153674247718e-13  -6.936445010e-15   3.018983425e-01   3.730801935e-01   6.749785360e-01   1.059152765e-13
24.661502  -8.889252618e-01  -4.576664668e-01   4.294531438e-01   3.062168925e-01   7.356700362e-01  -4.576664668e-01   8.887182348e-01   5.409713212e-01   3.652126369e-01   9.061839581e-01   9.5273151831113689e-01   2.8999025403209089e-13  -7.016339801e-15   3.018983425e-01   3.652126369e-01   6.671109794e-01   1.123545701e-13
24.692918  -9.028600708e-01  -4.295254077e-01   4.136597309e-01   3.053163590e-01   7.189760899e-01  -4.295254077e-01   9.026501785e-01   5.485010219e-01   3.576922514e-01   9.061932733e-01   9.5273151831113134e-01   2.8443913890896511e-13  -6.751446056e-15   3.018983425e-01   3.576922514e-01   6.595905939e-01   8.082423619e-14
24.724334  -9.159042207e-01  -4.009606168e-01   3.987838546e-01   3.045760812e-01   7.033599358e-01  -4.009606168e-01   9.156916300e-01   5.556534638e-01   3.505486896e-01   9.062021534e-01   9.5273151831112357e-01   2.7666757773658901e-13  -6.951778971e-15   3.018983425e-01   3.505486896e-01   6.524470321e-01   9.614531393e-14
24.755750  -9.280448432e-01  -3.720002739e-01   3.848613431e-01   3.039756247e-01   6.888369677e-01  -3.720002739e-01   9.278297270e-01   5.624004422e-01   3.438101167e-01   9.062105589e-01   9.5273151831116520e-01   3.1830094116003238e-13  -7.220376447e-15   3.018983425e-01   3.438101167e-01   6.457084591e-01   8.948397578e-14
24.787166  -9.392699616e-01  -3.426729493e-01   3.719258846e-01   3.034956176e-01   6.754215021e-01  -3.426729493e-01   9.390524982e-01   5.687153524e-01   3.375030996e-01   9.062184520e-01   9.5273151831118108e-01   3.3417713041217212e-13  -6.971022078e-15   3.018983425e-01   3.375030996e-01   6.394014421e-01   1.048050535e-13
24.818582  -9.495685021e-01  -3.130075750e-01   3.600089155e-01   3.031178484e-01   6.631267639e-01  -3.130075750e-01   9.493488752e-01   5.745732943e-01   3.316525027e-01   9.062257970e-01   9.5273151831120062e-01   3.5371705564557487e-13  -7.166369575e-15   3.018983425e-01   3.316525027e-01   6.335508452e-01   8.903988657e-14
